Description Adipose_Subcutaneous Adipose_Visceral_Omentum Adrenal_Gland Artery_Aorta Artery_Coronary Artery_Tibial Bladder Brain_Amygdala Brain_Anterior_cingulate_cortex_BA24 Brain_Caudate_basal_ganglia Brain_Cerebellar_Hemisphere Brain_Cerebellum Brain_Cortex Brain_Frontal_Cortex_BA9 Brain_Hippocampus Brain_Hypothalamus Brain_Nucleus_accumbens_basal_ganglia Brain_Putamen_basal_ganglia Brain_Spinal_cord_cervical_c-1 Brain_Substantia_nigra Breast_Mammary_Tissue Cells_Cultured_fibroblasts Cells_EBV-transformed_lymphocytes Cervix_Ectocervix Cervix_Endocervix Colon_Sigmoid Colon_Transverse Colon_Transverse_Mixed_Cell Colon_Transverse_Mucosa Colon_Transverse_Muscularis Esophagus_Gastroesophageal_Junction Esophagus_Mucosa Esophagus_Muscularis Fallopian_Tube Heart_Atrial_Appendage Heart_Left_Ventricle Kidney_Cortex Kidney_Medulla Liver Liver_Hepatocyte Liver_Mixed_Cell Liver_Portal_Tract Lung Minor_Salivary_Gland Muscle_Skeletal Nerve_Tibial Ovary Pancreas Pancreas_Acini Pancreas_Islets Pancreas_Mixed_Cell Pituitary Prostate Skin_Not_Sun_Exposed_Suprapubic Skin_Sun_Exposed_Lower_leg Small_Intestine_Terminal_Ileum Small_Intestine_Terminal_Ileum_Lymphode_Aggregate Small_Intestine_Terminal_Ileum_Mixed_Cell Spleen Stomach Stomach_Mixed_Cell Stomach_Mucosa Stomach_Muscularis Testis Thyroid Uterus Vagina Whole_Blood 
WASH7P 3.99789 3.17815 2.67308 4.0708 3.87547 3.62625 5.05094 1.45902 1.72721 1.60335 4.89435 5.82928 2.46283 2.23392 1.71674 1.81188 1.56717 1.45993 2.7826 1.8429 4.32033 1.64515 2.44735 5.44148 6.70715 4.56346 3.60182 4.50921 5.7027 4.63966 4.25839 2.98696 3.99092 6.12261 1.42451 0.902816 2.52101 2.59643 1.70245 1.57487 1.20133 5.19988 4.41057 3.57705 1.38727 6.66505 6.5996 1.78095 2.85658 2.24452 2.41607 5.33635 6.93093 5.70739 5.91937 4.06919 6.99117 4.66096 6.04259 3.04117 3.32897 2.87374 4.08568 4.54247 6.31791 7.0687 5.74187 2.89503 
ENSG00000268903 3.274 5.47566 3.82747 3.66268 3.7751 1.43218 4.26762 1.41991 1.35837 1.05739 1.83727 2.33047 2.4642 1.92946 1.37338 1.68974 1.0722 0.927655 2.601 1.85357 4.05775 0.0928865 1.82265 6.66861 5.50386 2.30529 2.72201 3.41276 4.53481 5.81933 3.32456 16.2822 3.13801 7.25527 1.68901 0.818956 4.15475 6.79215 3.2074 6.53167 3.63719 21.8418 20.1507 6.81242 0.303322 2.11246 10.0506 3.38748 9.506 8.85628 5.59454 9.38039 13.2786 6.09222 6.1558 4.69248 10.5395 4.93971 49.2459 3.63261 6.38039 5.16706 7.69824 35.3416 10.1481 4.41665 9.01966 157.293 
ENSG00000269981 5.09599 8.06555 6.49253 6.17435 5.39286 2.4488 6.12331 1.17581 1.07165 1.20083 2.60756 3.39027 2.37952 1.8759 1.17872 1.78392 1.12071 0.830931 2.45855 1.58359 6.58533 0.177104 4.33015 10.2598 10.1395 3.6148 4.94471 4.08448 5.32991 7.54141 5.63845 26.7223 5.4017 14.1551 2.96539 1.35771 4.82293 8.84666 4.40345 6.80485 5.75993 24.4518 34.686 13.4077 0.585081 3.2103 19.4857 6.76326 10.6162 15.4084 7.42168 14.3416 19.3937 10.2223 10.9047 8.49752 13.787 6.10979 83.0299 6.36832 9.70344 5.39986 10.7945 52.4297 17.0784 7.67987 15.3104 223.858 
WASH9P 7.66885 5.67638 5.32985 7.52018 6.83389 7.00938 9.03928 2.8602 3.20753 3.14877 14.6751 16.7081 5.46369 4.32806 3.40134 3.72219 3.09766 2.96546 4.91757 3.42647 8.14815 3.62501 4.80532 9.66439 10.946 8.9566 6.99289 3.88056 5.77374 5.92528 7.71195 5.79778 7.66534 13.5569 2.75011 1.68047 4.77185 6.94346 3.32438 3.10386 1.65461 8.44673 8.80009 6.9261 2.94115 13.2792 13.7821 3.10475 5.01071 8.21461 3.61946 12.6001 13.0773 9.94428 10.6838 7.81493 14.6367 8.9883 11.655 5.45134 5.17011 4.16604 7.49205 14.3603 12.5597 13.3398 10.5147 5.83756 
MTND1P23 11.3685 10.0556 13.7216 4.75894 5.85194 6.11692 5.89016 14.037 14.4759 15.9931 11.5191 14.1051 17.1469 13.997 15.5588 13.0823 15.4784 17.3786 11.415 15.2037 10.0496 3.10966 3.13514 3.66009 4.8843 8.693 9.52665 717.717 2785.58 1963.9 8.50564 4.64596 8.34545 3.8812 14.2066 18.4258 15.2594 11.0197 9.23512 5.75952 3.37844 1175.77 7.22672 7.62258 14.239 6.92255 4.72637 4.45817 5.78236 4.70535 3.01173 6.01853 7.42263 8.48855 8.78306 10.0547 14.8377 17.3644 6.0354 11.2021 13.0293 20.5712 15.9672 12.2494 6.62201 5.62456 4.65291 2.99172 
MTND2P28 977.022 1028.01 956.74 332.112 508.891 368.873 654.271 1198.69 1153.5 1590.69 677.781 873.654 1298.91 1011.13 1312.79 1219.96 1330.12 1613.53 1253.41 1456.18 916.858 176.754 203.895 367.231 477.105 838.482 778.738 644.843 816.596 923.81 834.469 337.54 808.905 455.04 1186.03 1321.49 1175.91 1033.62 779.24 479.572 297.087 485.768 452.961 499.273 773.726 610.979 393.947 315.693 414.103 371.083 317.964 553.336 801.636 608.368 577.254 761.694 493.251 530.939 365.766 897.09 923.21 1069.58 953.979 576.138 566.718 469.693 394.52 57.7907 
MTCO1P12 42.0622 42.1974 108.203 26.1149 36.3378 39.4867 45.0991 124.498 121.606 108.982 57.2139 60.4832 134.765 112.222 135.266 118.972 98.5795 108.437 69.4375 105.43 46.9572 31.0467 32.7697 27.7449 31.5251 48.6072 87.1563 191.7 252.075 111.75 60.1157 42.45 58.3187 32.7121 121.749 174.478 76.804 21.492 84.2815 79.8856 70.4856 139.452 39.3052 46.5796 97.4704 31.0038 23.7747 21.3097 35.4652 37.6695 29.8067 18.8303 30.6764 61.8525 56.2523 81.1363 66.3429 90.0732 46.6813 75.6568 98.6019 104.117 70.4001 38.2158 38.4455 35.2607 30.3933 10.2869 
MTCO2P12 9.04131 9.93738 15.4222 5.38176 7.05202 6.3874 8.34781 17.0493 18.6849 21.5698 14.5973 15.7112 20.38 18.7716 19.4162 19.2516 19.2863 23.8226 14.7779 20.2907 9.4736 7.84314 7.68306 4.27715 4.58696 12.2869 15.3708 31.2552 38.0306 27.8501 12.0716 8.21959 12.6638 5.11928 14.1059 22.6217 19.221 15.214 14.4574 9.69823 6.43375 7.66461 8.43897 8.72945 13.8351 6.90598 5.05028 4.35668 5.05874 6.15699 3.57753 8.26439 11.0066 9.16866 8.7692 13.4464 15.8976 24.7461 7.59619 12.4807 14.0402 19.5494 18.6083 9.22534 9.62762 6.61173 6.60041 3.33106 
MTATP8P1 12.4407 12.808 17.6988 7.75436 9.42971 8.37899 5.74345 12.7896 12.5264 13.2598 10.516 14.547 16.5439 10.9252 13.5847 13.1213 12.9399 12.4364 9.28078 10.8159 11.5396 4.87702 4.42761 4.18802 5.49857 11.8662 12.1076 13.9074 17.2432 14.6001 12.1884 7.41773 12.7986 3.76649 19.202 20.5623 12.6416 8.42636 16.641 6.2524 5.38091 8.32077 8.88539 8.46054 16.0832 8.6292 7.11715 5.5953 3.50439 2.77472 1.89647 8.23886 12.1311 10.8092 9.76843 15.6204 8.39552 11.2893 6.55226 14.3186 10.2143 11.6785 8.59029 9.63094 10.7231 8.65942 7.46786 2.53611 
MTATP6P1 3103.95 3870.86 5498.76 1795.25 2242.99 1947.24 3198.58 6179.73 6022.48 7286.07 4162.62 4787.2 6002.39 5372.42 6485.29 6200.03 6678.58 7695.42 4802.91 5890.43 3367.66 1278.46 1571.94 1866.3 2319.34 3588.77 4148.6 4059.5 5107.02 4781.2 3574.69 1970.11 3622 2310.52 6769.28 8437.24 7084.98 6410.29 5469.1 4708.69 3026.13 3255.9 2141.41 2440.43 4889.35 2179.86 2048.13 1348.52 1748.67 1867.15 1378.18 2653.07 3971.63 2752.54 2455.88 3804.87 2680.21 3131.32 2367.96 4198.79 4129.07 5117.61 4162.71 2772.48 3014.75 2288.02 2002.74 513.871 
MTCO3P12 18.2477 16.7006 25.6084 9.2034 12.2126 12.2335 10.3723 27.9817 27.2629 22.6346 19.3182 22.7972 26.0738 23.1159 28.3635 25.1595 26.7742 24.3533 16.6981 22.432 17.3179 6.83381 8.41388 7.56959 7.69821 15.7981 20.7234 53.6425 65.3021 42.3289 16.9838 11.8949 16.7288 7.6193 28.6107 34.501 33.8875 17.0275 19.1911 19.6404 15.27 26.0634 11.2883 14.028 21.9658 12.6792 9.5875 6.54076 14.0857 10.6949 8.52096 13.5084 16.4484 17.4998 17.4376 19.2711 27.9154 43.4051 10.206 19.5709 23.3254 25.3597 20.7398 19.7059 17.5632 10.7482 10.737 4.50592 
